skuname_ean,dollar_sales,volume_sales,is_client,serving_style,Indulgent brands vs Others,Topping Grouping,Deluxe/Supreme vs Others,Meat Combo/ Supreme/ Deluxe vs Others,Topping_Grouped,Veg vs Non-Veg,Sauce,Gluten Free,Updated Price Tier_PL,Crust Type - Higher level ,Pack Size - Panel,Pack Size Grouped,Cooking Style,Thickness of Crust,Healthy vs Regular Crust,Pack Count,Pack Type_Panel,Vegan(Nestle),Natural.Claim(Nestle),Non.Gmo(Nestle),Organic.Claim(Nestle),Plant.Based.Protein(Nestle),Preservative.Claim(Nestle),BFY Rolled up
0080487955827,131828.389,7379.760338,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400986,245390.0123,62351.09211,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000452880841,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000158151825,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0001081332827,4688526.287,579430.6735,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0081073202207,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000501775697,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0002182107567,45031.63385,4714.343111,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192179647,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218074909,112246.5762,16560.66906,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000954815276,3751124.403,1050903.478,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192123284,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192184623,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0085832400644,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000573362871,13622874.61,5230217.407,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000228823275,2.805434353,0.778030405,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0087282400882,270711.3925,86104.82272,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000054075869,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0270071599231,0,0,1,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400847,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001380015183,9775597.098,1816720.624,1,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0439904056100,261812.04,26235.225,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007390000004,43961.94589,6673.303204,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0003530043464,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0003120531004,542403.9149,46400.16164,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218074908,101673.5,13640.87517,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0069224300240,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0085016400752,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007465338514,61.33712845,15.41133881,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0065216001456,22674.36473,2473.683933,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218076195,0,0,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0270070883066,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218063528,28327.68964,4450.197988,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000336359268,166327.2101,37953.78312,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0081434302163,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001127808433,97948.83647,7853.891787,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001960004700,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0085832400603,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400842,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218063754,6537.546867,1032.20689,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000014246332,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0079966599198,144536.0881,7112.077741,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000337279977,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0004280048591,47981002.83,17987993.79,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400848,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001035792243,115.4540605,18.36506223,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0003068470160,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000589001103,1700736.425,528612.8112,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000159034857,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007192145699,492731.9753,61703.43046,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0270070883055,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000141391333,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0089245300122,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0080487955828,14971.57266,843.4337274,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007570615111,1834816.074,257620.2923,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400997,2275.127458,703.7652337,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001960004695,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000339848689,389912.2503,104722.9081,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000339402233,64.35,21.125,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0019056912484,3997.969498,308.6246809,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,PL,PL,No Gluten Claim Present,Value,Regular Crust,5.2 Oz,Small (<=10 Oz),Mw Or Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0008355408410,238361.6623,25763.82961,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,PL,PL,No Gluten Claim Present,Value,Regular Crust,5.2 Oz,Small (<=10 Oz),Mw Or Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0003120502006,460688.9106,58568.49511,0,Single Serve,Non- Indulgent,Sausage,Others,Others,Sausage,Non-Veg,Red Sauce,No Gluten Claim Present,Premium,Regular Crust,8.5 Oz,Small (<=10 Oz),Mw Or Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,Preservative-Free Claim,BFY
0007192103108,11.97,1.85625,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0075591859261,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001380054042,3663850.011,810306.9748,1,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400845,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000024846648,69.62,23.8,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000339401664,614385.2388,162772.5984,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007192101669,47691346.5,5422190.275,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0004280010493,7.64,2.45,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000023667396,630639.7832,255167.1934,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0004280010896,0,0,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000569862978,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000138326084,5.051546606,0.632708743,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0083041500934,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0071333104221,30637.01233,1512.500985,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0004280047491,6823.288703,2331.992797,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0004227200197,0,0,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
